순번,지역본부,관리부서,지역,명,주소,호,주택군,주택열람일정,공급형,성별용도,확장면적,"전용
면적","주거공용
면적",면적계,방수,층수,"승강기
유무",주택유형,청년수급자_임대보증금,청년수급자_월임대료,청년일반_임대보증금,청년일반_월임대료,비고
1,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산남구),부산광역시 남구 유엔평화로41번길 70-1(대연동) 센텀뷰5,202,부산남구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,17.5600,4.6893,22.2493,1,2층,N,도시형생활주택(원룸형),"1,000,000 ","147,750 ","2,000,000 ","177,620 ",
2,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산남구),부산광역시 남구 유엔평화로41번길 70-1(대연동) 센텀뷰5,203,부산남구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,16.3500,4.3662,20.7162,1,2층,N,도시형생활주택(원룸형),"1,000,000 ","137,120 ","2,000,000 ","164,470 ",
3,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산남구),부산광역시 남구 유엔평화로41번길 70-1(대연동) 센텀뷰5,501,부산남구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,15.0000,4.0057,19.0057,1,5층,N,도시형생활주택(원룸형),"1,000,000 ","126,750 ","2,000,000 ","151,680 ",
4,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",203,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
5,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",204,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
6,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",205,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
7,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",206,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
8,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",207,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
9,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",208,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
10,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",209,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
11,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",210,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
12,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",214,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","230,550 ","2,000,000 ","280,170 ",공용관리비 높음(자체관리소 보유)
13,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",217,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","230,550 ","2,000,000 ","280,170 ",공용관리비 높음(자체관리소 보유)
14,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",218,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,2층,Y,도시형생활주택(원룸형),"1,000,000 ","230,550 ","2,000,000 ","280,170 ",공용관리비 높음(자체관리소 보유)
15,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",311,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,3층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
16,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",312,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,3층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
17,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",314,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,3층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
18,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",315,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,3층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
19,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",316,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,3층,Y,도시형생활주택(원룸형),"1,000,000 ","235,480 ","2,000,000 ","286,350 ",공용관리비 높음(자체관리소 보유)
20,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",410,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,4층,Y,도시형생활주택(원룸형),"1,000,000 ","242,910 ","2,000,000 ","295,620 ",공용관리비 높음(자체관리소 보유)
21,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",503,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,5층,Y,도시형생활주택(원룸형),"1,000,000 ","245,380 ","2,000,000 ","298,710 ",공용관리비 높음(자체관리소 보유)
22,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",505,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,5층,Y,도시형생활주택(원룸형),"1,000,000 ","245,380 ","2,000,000 ","298,710 ",공용관리비 높음(자체관리소 보유)
23,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",507,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,5층,Y,도시형생활주택(원룸형),"1,000,000 ","245,380 ","2,000,000 ","298,710 ",공용관리비 높음(자체관리소 보유)
24,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",510,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,27.0200,12.8860,39.9060,1,5층,Y,도시형생활주택(원룸형),"1,000,000 ","245,380 ","2,000,000 ","298,710 ",공용관리비 높음(자체관리소 보유)
25,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",714,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,20.2300,9.7793,30.0093,1,7층,Y,도시형생활주택(원룸형),"1,000,000 ","182,560 ","2,000,000 ","221,060 ",공용관리비 높음(자체관리소 보유)
26,부산울산지역본부,부산서부권주거복지지사(주거복지사업처),부산광역시,매입다가구(부산부산진구),"부산광역시 부산진구 가야대로406번길 15-4(개금동,상우다솜) ",1202,부산진구,열람불가(계약 전 주택 개방),단독(1인),남여공용,0.0000,20.2300,9.7793,30.0093,1,12층,Y,도시형생활주택(원룸형),"1,000,000 ","187,510 ","2,000,000 ","227,240 ",공용관리비 높음(자체관리소 보유)
