,지역본부,지역,명,주소,동,호,주택군 이름,주택열람일정,공급형,전용면적,주거공용면적,면적계,방수,층수,승강기유무,주택유형,성별용도구분,청년 1순위_기본 임대조건_임대보증금(원),청년 1순위_기본 임대조건_월임대료(원),청년 1순위_임대료→보증금 최대전환시_임대보증금(원),청년 1순위_임대료→보증금 최대전환시_월임대료(원),청년 2~3순위_기본 임대조건_임대보증금(원),청년 2~3순위_기본 임대조건_월임대료(원),청년 2~3순위_임대료→보증금 최대전환시_임대보증금(원),청년 2~3순위_임대료→보증금 최대전환시_월임대료(원)
1,경기북부지역본부,경기도,매입다가구(경기의정부시),"경기도 의정부시 호국로1067번길 29(가능동,드림) ",,202,의정부시 가능동(드림),열람불가(계약 전 주택 개방),단독(1인),62.36,12.8,75.16,3,2층,Y,다세대주택,남여공용,"1,000,000","328,700","34,800,000","131,530","2,000,000","401,470","43,200,000","161,130"
2,경기북부지역본부,경기도,매입다가구(경기의정부시),"경기도 의정부시 용민로21번길 97(용현동,JS행복주택) ",가,403,의정부시 용현동(JS행복주택_여성전용),열람불가(계약 전 주택 개방),단독(1인),37.68,5.71,43.39,2,4층,N,다세대주택,여성전용,"1,000,000","238,860","25,500,000","95,940","2,000,000","290,440","31,800,000","116,600"
3,경기북부지역본부,경기도,매입다가구(경기의정부시),"경기도 의정부시 용민로21번길 97(용현동,JS행복주택) ",나,302,의정부시 용현동(JS행복주택_남성전용),열람불가(계약 전 주택 개방),단독(1인),67.26,8.22,75.48,3,3층,N,다세대주택,남성전용,"1,000,000","367,200","38,700,000","147,280","2,000,000","449,070","48,100,000","180,150"
4,경기북부지역본부,경기도,매입다가구(경기의정부시),"경기도 의정부시 용민로21번길 101(용현동,JS행복주택) ",다,201,의정부시 용현동(JS행복주택_여성전용),열람불가(계약 전 주택 개방),단독(1인),53.47,7.8,61.27,3,2층,N,다세대주택,여성전용,"1,000,000","334,320","35,300,000","134,230","2,000,000","408,430","44,000,000","163,430"
5,경기북부지역본부,경기도,매입다가구(경기의정부시),"경기도 의정부시 용민로21번길 101(용현동,JS행복주택) ",다,301,의정부시 용현동(JS행복주택_여성전용),열람불가(계약 전 주택 개방),단독(1인),53.47,7.8,61.27,3,3층,N,다세대주택,여성전용,"1,000,000","334,320","35,300,000","134,230","2,000,000","408,430","44,000,000","163,430"
6,경기북부지역본부,경기도,매입다가구(경기구리시),경기도 구리시 안골로97번길 17-6(수택동) 구리더케이타워,,1406,구리시 수택동(구리더케이타워),열람불가(계약 전 주택 개방),단독(1인),33.78,26.07,59.85,1,14층,Y,오피스텔,남여공용,"1,000,000","344,230","36,400,000","137,730","2,000,000","422,050","45,400,000","168,880"
7,경기북부지역본부,경기도,매입다가구(경기구리시),경기도 구리시 경춘로 177(교문동) 로쉬교문타워,,1006,구리시 교문동(로쉬교문타워),열람불가(계약 전 주택 개방),단독(1인),37.9037,20.4185,58.3222,1,10층,Y,오피스텔,남여공용,"1,000,000","399,510","42,000,000","160,340","2,000,000","488,060","52,200,000","195,220"
8,경기북부지역본부,경기도,매입다가구(경기구리시),경기도 구리시 경춘로 177(교문동) 로쉬교문타워,,1103,구리시 교문동(로쉬교문타워),열람불가(계약 전 주택 개방),단독(1인),39.0371,21.029,60.0661,1,11층,Y,오피스텔,남여공용,"1,000,000","414,490","43,600,000","165,990","2,000,000","506,540","54,100,000","202,620"
9,경기북부지역본부,경기도,매입다가구(경기구리시),경기도 구리시 경춘로 177(교문동) 로쉬교문타워,,1206,구리시 교문동(로쉬교문타워),열람불가(계약 전 주택 개방),단독(1인),37.9037,20.4185,58.3222,1,12층,Y,오피스텔,남여공용,"1,000,000","403,010","42,400,000","161,510","2,000,000","492,440","52,600,000","197,270"
10,경기북부지역본부,경기도,매입다가구(경기구리시),경기도 구리시 경춘로 177(교문동) 로쉬교문타워,,1406,구리시 교문동(로쉬교문타워),열람불가(계약 전 주택 개방),단독(1인),37.9037,20.4185,58.3222,1,14층,Y,오피스텔,남여공용,"1,000,000","406,510","42,800,000","162,670","2,000,000","496,810","53,100,000","198,720"
11,경기북부지역본부,경기도,매입다가구(경기구리시),경기도 구리시 경춘로 177(교문동) 로쉬교문타워,,1605,구리시 교문동(로쉬교문타워),열람불가(계약 전 주택 개방),단독(1인),39.0422,21.0319,60.0741,1,16층,Y,오피스텔,남여공용,"1,000,000","423,250","44,500,000","169,500","2,000,000","517,480","55,200,000","207,140"
12,경기북부지역본부,경기도,매입다가구(경기구리시),경기도 구리시 경춘로 177(교문동) 로쉬교문타워,,1805,구리시 교문동(로쉬교문타워),열람불가(계약 전 주택 개방),단독(1인),39.0422,21.0319,60.0741,1,18층,Y,오피스텔,남여공용,"1,000,000","426,750","44,800,000","171,250","2,000,000","521,860","55,600,000","209,190"
13,경기북부지역본부,경기도,매입다가구(경기고양시),경기도 고양시 일산동구 위시티로 26(식사동) 카일라오피스텔,,207,고양시 식사동(카일라),열람불가(계약 전 주택 개방),단독(1인),22.82,10.0962,32.9162,1,2층,Y,오피스텔,남여공용,"1,000,000","201,800","21,700,000","81,050","2,000,000","245,210","27,200,000","98,210"
