,지역본부,지역,주소,동,호,주택군 이름,주택열람일정,공급형,전용면적,주거공용면적,면적계,방수,층수,승강기유무,주택유형,성별용도구분,청년 1순위_기본 임대조건_임대보증금(원),청년 1순위_기본 임대조건_월임대료(원),청년 1순위_임대료→보증금 최대전환시_임대보증금(원),청년 1순위_임대료→보증금 최대전환시_월임대료(원),청년 2~3순위_기본 임대조건_임대보증금(원),청년 2~3순위_기본 임대조건_월임대료(원),청년 2~3순위_임대료→보증금 최대전환시_임대보증금(원),청년 2~3순위_임대료→보증금 최대전환시_월임대료(원)
1,P41410,매입다가구(경기군포시),경기도 군포시 당산로39번길 21(당동) ,4101,101,0,군포당동,32.49,14.946,47.436,1,1층,N,다가구주택,1,,,,,,,,,
2,P41410,매입다가구(경기군포시),경기도 군포시 당산로39번길 21(당동) ,4101,102,0,군포당동,32.49,14.946,47.436,1,1층,N,다가구주택,1,,,,,,,,,
3,P41410,매입다가구(경기군포시),경기도 군포시 당산로39번길 21(당동) ,4101,201,0,군포당동,32.49,14.946,47.436,1,2층,N,다가구주택,1,,,,,,,,,
4,P41410,매입다가구(경기군포시),경기도 군포시 당산로39번길 21(당동) ,4101,302,0,군포당동,32.49,14.946,47.436,1,3층,N,다가구주택,1,,,,,,,,,
5,P41130,매입다가구(경기성남시),경기도 성남시 수정구 태평로 94(태평동) ,502,401,0,성남수정,17.58,12.423,30.003,1,4층,Y,다세대주택,1,,,,,,,,,
6,P41130,매입다가구(경기성남시),경기도 성남시 수정구 태평로 94(태평동) ,502,402,0,성남수정,18.16,12.803,30.963,1,4층,Y,다세대주택,1,,,,,,,,,
7,P41130,매입다가구(경기성남시),경기도 성남시 수정구 태평로 94(태평동) ,502,501,0,성남수정,17.58,12.423,30.003,1,5층,Y,다세대주택,1,,,,,,,,,
8,P41130,매입다가구(경기성남시),경기도 성남시 중원구 둔촌대로80번길 3-15(성남동) 모란드림시티,401,604,0,성남중원,28.2109,16.7948,45.0057,1,6층,Y,오피스텔,1,,,,,,,,,
9,P41130,매입다가구(경기성남시),경기도 성남시 중원구 둔촌대로80번길 3-10(성남동) 성남아리스타,402,839,0,성남중원,21.838,12.161,33.999,1,8층,Y,오피스텔,1,,,,,,,,,
10,P41130,매입다가구(경기성남시),경기도 성남시 중원구 둔촌대로80번길 3-10(성남동) 성남아리스타,402,846,0,성남중원,22.537,12.55,35.087,1,8층,Y,오피스텔,1,,,,,,,,,
