,지역본부,지역,명,주소,동,호,주택군 이름,주택열람일정,공급형,성별용도 구분,"전용
면적","주거공용
면적",면적계,방수,층수,"승강기
유무",주택유형,복층여부,청년1순위_기본 임대조건임대보증금,청년1순위_기본 임대조건월임대료,청년1순위_임대료→보증금 최대전환시임대보증금,청년1순위_임대료→보증금 최대전환시월임대료,"청년 2순위, 3순위_기본 임대조건임대보증금","청년 2순위, 3순위_기본 임대조건월임대료","청년 2순위, 3순위_임대료→보증금 최대전환시임대보증금","청년 2순위, 3순위_임대료→보증금 최대전환시월임대료"
1,서울지역본부,서울특별시,매입다가구(서울강동구),서울특별시 강동구 성안로3길 7(성내동) 르레브,,303,강동성내동(르레브),열람불가(계약 전 주택 개방),단독(1인),남여공용,21.44,4.81,26.25,1,3층,Y,도시형생활주택,,"1,000,000","357,210","37,700,000","143,120","2,000,000","436,330","46,800,000","174,990"
2,서울지역본부,서울특별시,매입다가구(서울강동구),서울특별시 강동구 진황도로 151-10(둔촌동) ,,102,강동둔촌동,열람불가(계약 전 주택 개방),단독(1인),남여공용,19.63,8.37,28,1,1층,N,다가구주택,,"1,000,000","280,000","29,700,000","112,580","2,000,000","340,570","37,000,000","136,400"
3,서울지역본부,서울특별시,매입다가구(서울강북구),"서울특별시 강북구 한천로148길 12-13(수유동,칸타빌 수유팰리스) 칸타빌 수유팰리스",,314,강북수유동(칸타빌수유팰리스),열람불가(계약 전 주택 개방),단독(1인),남여공용,19.9815,18.0898,38.0713,1,3층,Y,아파트,,"1,000,000","237,290","25,400,000","94,950","2,000,000","288,530","31,600,000","115,860"
4,서울지역본부,서울특별시,매입다가구(서울강서구),서울특별시 강서구 곰달래로57길 23-6(화곡동) ,,402,강서화곡동,열람불가(계약 전 주택 개방),단독(1인),남여공용,18.74,4.573,23.313,1,4층,N,다가구주택,,"1,000,000","184,610","19,900,000","74,360","2,000,000","297,870","32,600,000","119,370"
5,서울지역본부,서울특별시,매입다가구(서울강서구),서울특별시 강서구 화곡로 350(화곡동) SJ라벨라,,317,강서화곡동(SJ라벨라),열람불가(계약 전 주택 개방),단독(1인),남여공용,20.38,13.46,33.84,1,3층,Y,오피스텔,,"1,000,000","341,320","36,100,000","136,570","2,000,000","418,130","45,000,000","167,290"
6,서울지역본부,서울특별시,매입다가구(서울강서구),서울특별시 강서구 화곡로 350(화곡동) SJ라벨라,,714,강서화곡동(SJ라벨라),열람불가(계약 전 주택 개방),단독(1인),남여공용,20.38,13.46,33.84,1,7층,Y,오피스텔,,"1,000,000","324,410","34,300,000","130,160","2,000,000","397,040","42,800,000","159,040"
7,서울지역본부,서울특별시,매입다가구(서울강서구),서울특별시 강서구 화곡로 350(화곡동) SJ라벨라,,916,강서화곡동(SJ라벨라),열람불가(계약 전 주택 개방),단독(1인),남여공용,20.38,13.46,33.84,1,9층,Y,오피스텔,,"1,000,000","324,410","34,300,000","130,160","2,000,000","397,040","42,800,000","159,040"
8,서울지역본부,서울특별시,매입다가구(서울강서구),서울특별시 강서구 화곡로 350(화곡동) SJ라벨라,,1516,강서화곡동(SJ라벨라),열람불가(계약 전 주택 개방),단독(1인),남여공용,20.38,13.46,33.84,1,15층,Y,오피스텔,,"1,000,000","354,700","37,400,000","142,360","2,000,000","434,860","46,700,000","174,110"
9,서울지역본부,서울특별시,매입다가구(서울광진구),"서울특별시 광진구 능동로36길 129(능동,능동 에스하임) ",,204,광진능동(능동에스하임),열람불가(계약 전 주택 개방),단독(1인),남여공용,27.58,8.55,36.13,1,2층,Y,도시형생활주택,,"1,000,000","490,560","51,400,000","196,560","2,000,000","600,030","63,700,000","240,110"
10,서울지역본부,서울특별시,매입다가구(서울광진구),서울특별시 광진구 능동로39길 5(중곡동) 와이위드미,,301,광진중곡동(와이위드미),열람불가(계약 전 주택 개방),단독(1인),남여공용,19.76,18.46,38.22,1,3층,Y,도시형생활주택,Y,"1,000,000","463,510","48,600,000","185,840","2,000,000","569,700","60,500,000","228,450"
